timestamp,window,cpu (millicores),memory (megabytes)
2022-09-09T01:22:01Z,29s,775.084627,5.832704
2022-09-09T01:22:01Z,29s,775.084627,5.832704
2022-09-09T01:22:19Z,18s,1093.953823,5.910528
2022-09-09T01:22:35Z,16s,1606.628759,6.176768
2022-09-09T01:22:55Z,20s,1972.630984,6.279168
2022-09-09T01:23:13Z,18s,2057.895389,6.67648
2022-09-09T01:23:27Z,14s,1982.380189,6.705152
2022-09-09T01:23:45Z,18s,2136.203988,6.729728
2022-09-09T01:23:59Z,14s,1917.878983,6.959104
2022-09-09T01:24:09Z,10s,2148.931236,6.836224
2022-09-09T01:24:27Z,18s,2070.360346,6.71744
2022-09-09T01:24:27Z,18s,2070.360346,6.71744
2022-09-09T01:24:58Z,31s,2005.585725,6.610944
2022-09-09T01:24:58Z,31s,2005.585725,6.610944
2022-09-09T01:25:17Z,19s,2097.80725,6.61504
2022-09-09T01:25:35Z,18s,2035.635588,6.774784
2022-09-09T01:25:51Z,16s,2097.105974,6.807552
2022-09-09T01:26:06Z,15s,1968.393241,6.688768
2022-09-09T01:26:25Z,19s,2138.67237,6.885376
2022-09-09T01:26:41Z,16s,1993.484522,6.623232
2022-09-09T01:26:59Z,18s,2098.941349,6.774784
2022-09-09T01:27:14Z,15s,2042.630168,6.627328
2022-09-09T01:27:25Z,11s,1971.773012,6.529024
2022-09-09T01:27:39Z,14s,2070.906161,6.656
2022-09-09T01:27:49Z,10s,2089.829844,6.643712
2022-09-09T01:28:01Z,12s,2107.496323,6.791168
2022-09-09T01:28:30Z,29s,2022.23432,6.762496
2022-09-09T01:28:43Z,13s,2045.903272,6.873088
2022-09-09T01:28:56Z,13s,1956.108978,6.795264
2022-09-09T01:29:09Z,13s,2127.367663,6.92224
2022-09-09T01:29:23Z,14s,2012.517893,6.680576
2022-09-09T01:29:36Z,13s,2126.581386,6.832128
2022-09-09T01:29:51Z,15s,2021.387003,6.713344
2022-09-09T01:30:08Z,17s,1971.765352,6.725632
2022-09-09T01:30:22Z,14s,2070.558332,6.729728
2022-09-09T01:30:35Z,13s,1999.034741,6.791168
