timestamp,window,cpu (millicores),memory (megabytes)
2022-09-09T01:36:44Z,14s,54.759189,5.144576
2022-09-09T01:36:57Z,13s,217.102617,5.18144
2022-09-09T01:37:11Z,14s,520.916852,5.3248
2022-09-09T01:37:27Z,16s,381.15166,5.414912
2022-09-09T01:37:44Z,17s,270.976263,5.419008
2022-09-09T01:37:44Z,17s,270.976263,5.419008
2022-09-09T01:38:13Z,29s,747.321839,6.070272
2022-09-09T01:38:13Z,29s,747.321839,6.070272
2022-09-09T01:38:43Z,30s,779.359396,6.397952
2022-09-09T01:38:43Z,30s,779.359396,6.397952
2022-09-09T01:39:00Z,17s,797.283942,6.660096
2022-09-09T01:39:20Z,20s,764.411249,6.619136
2022-09-09T01:39:36Z,16s,783.41597,6.67648
2022-09-09T01:39:49Z,13s,771.528342,6.688768
2022-09-09T01:40:04Z,15s,794.838151,6.930432
