timestamp,window,cpu (millicores),memory (megabytes)
2022-09-09T01:37:51Z,19s,363.86578,6.037504
2022-09-09T01:38:06Z,15s,775.056516,6.92224
2022-09-09T01:38:23Z,17s,765.238855,6.84032
2022-09-09T01:38:37Z,14s,799.108914,6.774784
2022-09-09T01:38:54Z,17s,767.151721,6.856704
2022-09-09T01:39:04Z,10s,815.165122,6.766592
2022-09-09T01:39:26Z,22s,790.794328,6.742016
2022-09-09T01:39:43Z,17s,779.600865,6.8608
2022-09-09T01:39:55Z,12s,787.017887,7.000064
2022-09-09T01:40:13Z,18s,782.080017,6.84032
2022-09-09T01:40:27Z,14s,789.40643,6.88128
2022-09-09T01:40:39Z,12s,783.336472,7.225344
2022-09-09T01:40:54Z,15s,778.790945,6.9632
2022-09-09T01:41:12Z,18s,757.746371,6.926336
