timestamp,window,cpu (millicores),memory (megabytes)
2022-09-09T01:34:17Z,16s,51.752241,5.582848
2022-09-09T01:34:35Z,18s,49.454141,5.812224
2022-09-09T01:34:49Z,14s,49.864705,5.853184
2022-09-09T01:35:08Z,19s,48.697343,5.890048
2022-09-09T01:35:18Z,10s,51.502238,5.89824
2022-09-09T01:35:32Z,14s,51.431623,5.906432
2022-09-09T01:35:47Z,15s,50.400587,5.906432
2022-09-09T01:36:06Z,19s,48.785338,5.914624
2022-09-09T01:36:20Z,14s,50.266374,5.947392
2022-09-09T01:36:32Z,12s,48.203244,5.971968
2022-09-09T01:36:58Z,26s,50.03239,5.98016
2022-09-09T01:37:11Z,13s,51.403362,5.935104
2022-09-09T01:37:28Z,17s,50.19591,5.935104
