timestamp,window,cpu (millicores),memory (megabytes)
2022-09-09T01:52:16Z,16s,48.839309,5.541888
2022-09-09T01:52:32Z,16s,51.70979,5.804032
2022-09-09T01:52:47Z,15s,50.332621,5.865472
2022-09-09T01:53:11Z,24s,50.001125,5.869568
2022-09-09T01:53:11Z,24s,50.001125,5.869568
2022-09-09T01:53:29Z,18s,50.721978,5.87776
2022-09-09T01:53:46Z,17s,48.803402,5.890048
2022-09-09T01:54:05Z,19s,50.131972,6.148096
2022-09-09T01:54:22Z,17s,49.152499,5.894144
2022-09-09T01:54:34Z,12s,48.694992,5.89824
2022-09-09T01:54:49Z,15s,49.964468,5.931008
2022-09-09T01:55:03Z,14s,50.891541,5.935104
2022-09-09T01:55:21Z,18s,50.831556,6.06208
2022-09-09T01:55:32Z,11s,48.966656,5.935104
