timestamp,window,cpu (millicores),memory (megabytes)
2022-09-09T02:12:48Z,18s,100.512073,5.26336
2022-09-09T02:13:07Z,19s,637.784476,6.782976
2022-09-09T02:13:24Z,17s,725.60355,6.873088
2022-09-09T02:13:39Z,15s,731.44762,6.926336
2022-09-09T02:13:53Z,14s,735.732606,7.237632
2022-09-09T02:14:12Z,19s,710.297585,7.135232
2022-09-09T02:14:26Z,14s,727.207333,7.020544
2022-09-09T02:14:26Z,14s,727.207333,7.020544
2022-09-09T02:14:44Z,18s,713.924494,7.04512
2022-09-09T02:15:03Z,19s,752.454412,6.979584
2022-09-09T02:15:13Z,10s,726.264939,6.848512
2022-09-09T02:15:40Z,27s,709.623248,6.77888
2022-09-09T02:15:57Z,17s,725.697517,6.950912
2022-09-09T02:16:09Z,12s,731.074887,7.22944
