timestamp,window,cpu (millicores),memory (megabytes)
2022-09-09T02:15:46Z,15s,606.015158,5.67296
2022-09-09T02:16:12Z,26s,1161.972278,5.869568
2022-09-09T02:16:12Z,26s,1161.972278,5.869568
2022-09-09T02:16:31Z,19s,1503.09192,6.12352
2022-09-09T02:16:46Z,15s,2057.035942,6.36928
2022-09-09T02:17:09Z,23s,2116.846272,6.455296
2022-09-09T02:17:26Z,17s,2103.901267,6.47168
2022-09-09T02:17:26Z,17s,2103.901267,6.47168
2022-09-09T02:17:45Z,19s,2123.235216,6.631424
2022-09-09T02:18:03Z,18s,2140.882459,6.643712
2022-09-09T02:18:23Z,20s,2036.320303,6.684672
2022-09-09T02:18:40Z,17s,2123.235327,6.627328
2022-09-09T02:18:56Z,16s,2040.076356,6.500352
2022-09-09T02:19:09Z,13s,2067.408592,6.504448
2022-09-09T02:19:22Z,13s,2091.626956,6.537216
2022-09-09T02:19:42Z,20s,2089.697911,6.59456
2022-09-09T02:19:42Z,20s,2089.697911,6.59456
2022-09-09T02:20:00Z,18s,2101.03201,6.770688
2022-09-09T02:20:14Z,14s,2063.578275,6.647808
2022-09-09T02:20:42Z,28s,2091.339741,6.9632
2022-09-09T02:20:56Z,14s,2146.279623,6.71744
2022-09-09T02:21:11Z,15s,2069.281555,6.762496
2022-09-09T02:21:23Z,12s,2095.945423,6.7584
2022-09-09T02:21:38Z,15s,2113.418895,6.639616
2022-09-09T02:21:50Z,12s,2245.594732,6.774784
2022-09-09T02:22:04Z,14s,2076.550945,6.59456
2022-09-09T02:22:18Z,14s,2091.186734,6.709248
2022-09-09T02:22:33Z,15s,2076.668608,6.619136
2022-09-09T02:22:48Z,15s,2003.665834,6.766592
2022-09-09T02:23:02Z,14s,2163.999271,6.762496
2022-09-09T02:23:27Z,25s,2054.965078,6.672384
2022-09-09T02:23:41Z,14s,2054.659134,6.656
2022-09-09T02:23:41Z,14s,2054.659134,6.656
2022-09-09T02:24:00Z,19s,2112.420161,6.852608
2022-09-09T02:24:14Z,14s,2071.32387,6.602752
2022-09-09T02:24:30Z,16s,2082.997902,6.71744
