timestamp,window,cpu (millicores),memory (megabytes)
2022-09-09T02:47:43Z,14s,127.172259,5.341184
2022-09-09T02:48:02Z,19s,554.364536,5.61152
2022-09-09T02:48:19Z,17s,343.10885,5.640192
2022-09-09T02:48:30Z,11s,260.226497,5.668864
2022-09-09T02:48:47Z,17s,322.997036,5.906432
2022-09-09T02:48:59Z,12s,778.152015,6.803456
2022-09-09T02:49:25Z,26s,747.702811,6.909952
2022-09-09T02:49:25Z,26s,747.702811,6.909952
2022-09-09T02:49:43Z,18s,770.67278,6.918144
2022-09-09T02:49:58Z,15s,734.679814,6.9632
2022-09-09T02:50:12Z,14s,721.521413,7.057408
2022-09-09T02:50:30Z,18s,766.273907,7.012352
2022-09-09T02:50:49Z,19s,727.622346,7.02464
2022-09-09T02:51:07Z,18s,765.391416,6.90176
