timestamp,window,cpu (millicores),memory (megabytes)
2022-09-09T03:28:38Z,13s,181.184074,5.443584
2022-09-09T03:28:38Z,13s,181.184074,5.443584
2022-09-09T03:28:57Z,19s,822.622553,5.791744
2022-09-09T03:29:16Z,19s,961.603656,6.004736
2022-09-09T03:29:29Z,13s,1720.409456,6.135808
2022-09-09T03:29:43Z,14s,1919.248166,6.250496
2022-09-09T03:30:10Z,27s,2081.124995,6.414336
2022-09-09T03:30:10Z,27s,2081.124995,6.414336
2022-09-09T03:30:39Z,29s,2052.411228,6.598656
2022-09-09T03:30:50Z,11s,2047.824226,6.729728
2022-09-09T03:31:06Z,16s,2059.546924,6.660096
2022-09-09T03:31:20Z,14s,2081.051677,6.823936
2022-09-09T03:31:39Z,19s,2042.730452,6.672384
2022-09-09T03:31:39Z,19s,2042.730452,6.672384
2022-09-09T03:31:57Z,18s,2081.121371,6.856704
2022-09-09T03:32:13Z,16s,2119.983006,6.59456
2022-09-09T03:32:29Z,16s,2089.022056,6.590464
2022-09-09T03:32:44Z,15s,2113.315079,6.606848
2022-09-09T03:33:08Z,24s,2049.903012,6.647808
2022-09-09T03:33:08Z,24s,2049.903012,6.647808
2022-09-09T03:33:38Z,30s,2092.180978,6.73792
2022-09-09T03:33:52Z,14s,2069.93962,6.71744
2022-09-09T03:33:52Z,14s,2069.93962,6.71744
2022-09-09T03:34:10Z,18s,2072.389805,6.754304
2022-09-09T03:34:29Z,19s,2022.751434,6.664192
2022-09-09T03:34:53Z,24s,2063.163369,6.684672
2022-09-09T03:35:06Z,13s,1973.187886,6.69696
2022-09-09T03:35:23Z,17s,2092.722644,6.692864
2022-09-09T03:35:23Z,17s,2092.722644,6.692864
2022-09-09T03:35:53Z,30s,1989.711053,6.672384
2022-09-09T03:36:08Z,15s,2099.969516,6.967296
2022-09-09T03:36:19Z,11s,2048.646742,6.979584
2022-09-09T03:36:36Z,17s,1988.358194,6.987776
