timestamp,window,cpu (millicores),memory (megabytes)
2022-09-09T03:25:37Z,13s,141.544365,5.312512
2022-09-09T03:25:48Z,11s,658.863703,5.947392
2022-09-09T03:26:01Z,13s,891.575666,6.045696
2022-09-09T03:26:19Z,18s,834.950876,6.275072
2022-09-09T03:26:35Z,16s,841.046207,6.733824
2022-09-09T03:26:47Z,12s,834.117172,6.623232
2022-09-09T03:27:04Z,17s,843.677486,6.725632
2022-09-09T03:27:19Z,15s,835.850459,6.803456
2022-09-09T03:27:35Z,16s,871.898144,6.725632
2022-09-09T03:27:49Z,14s,823.887186,6.828032
2022-09-09T03:28:04Z,15s,866.170903,6.725632
