timestamp,window,cpu (millicores),memory (megabytes)
2022-09-08T15:44:09Z,17s,47.209245,5.545984
2022-09-08T15:44:29Z,20s,48.86244,5.701632
2022-09-08T15:44:47Z,18s,52.307654,5.750784
2022-09-08T15:45:01Z,14s,47.10986,5.783552
2022-09-08T15:45:18Z,17s,49.632944,5.799936
2022-09-08T15:45:32Z,14s,50.675047,5.820416
2022-09-08T15:45:46Z,14s,49.341478,5.820416
2022-09-08T15:46:01Z,15s,51.686431,5.844992
2022-09-08T15:46:12Z,11s,48.67183,5.844992
2022-09-08T15:46:23Z,11s,50.129062,5.849088
2022-09-08T15:46:37Z,14s,52.379609,5.849088
2022-09-08T15:46:55Z,18s,49.432005,5.976064
2022-09-08T15:47:09Z,14s,48.978215,5.849088
2022-09-08T15:47:35Z,26s,49.312971,5.849088
