timestamp,window,cpu (millicores),memory (megabytes)
2022-09-08T15:50:44Z,19s,567.857322,5.644288
2022-09-08T15:50:55Z,11s,1131.204256,5.742592
2022-09-08T15:51:13Z,18s,1161.696837,5.779456
2022-09-08T15:51:33Z,20s,1648.338475,6.283264
2022-09-08T15:51:49Z,16s,2023.649877,6.447104
2022-09-08T15:52:03Z,14s,2111.673298,6.381568
2022-09-08T15:52:14Z,11s,2065.67916,6.639616
2022-09-08T15:52:28Z,14s,2052.090237,6.414336
2022-09-08T15:52:40Z,12s,2047.801661,6.434816
2022-09-08T15:52:53Z,13s,2096.478064,6.47168
2022-09-08T15:53:13Z,20s,2066.851786,6.53312
2022-09-08T15:53:35Z,22s,2005.340321,6.59456
2022-09-08T15:53:49Z,14s,2021.667747,6.709248
2022-09-08T15:54:04Z,15s,2133.831365,6.610944
2022-09-08T15:54:04Z,15s,2133.831365,6.610944
2022-09-08T15:54:35Z,31s,2104.377186,6.713344
2022-09-08T15:54:46Z,11s,2101.589474,6.561792
2022-09-08T15:55:04Z,18s,2109.450484,6.623232
2022-09-08T15:55:19Z,15s,2032.990737,6.627328
2022-09-08T15:55:33Z,14s,2030.274558,6.488064
2022-09-08T15:55:45Z,12s,1959.565225,6.524928
2022-09-08T15:55:58Z,13s,2041.995401,6.623232
2022-09-08T15:56:12Z,14s,2092.277606,6.631424
2022-09-08T15:56:24Z,12s,2099.048493,6.639616
2022-09-08T15:56:51Z,27s,2064.173568,6.807552
2022-09-08T15:57:06Z,15s,2019.005233,6.692864
2022-09-08T15:57:06Z,15s,2019.005233,6.692864
2022-09-08T15:57:34Z,28s,2081.035233,6.602752
2022-09-08T15:57:49Z,15s,2003.5706,6.733824
2022-09-08T15:57:49Z,15s,2003.5706,6.733824
2022-09-08T15:58:19Z,30s,2075.60515,6.61504
2022-09-08T15:58:36Z,17s,2147.05938,6.660096
