timestamp,window,cpu (millicores),memory (megabytes)
2022-09-09T03:45:39Z,14s,167.147734,5.431296
2022-09-09T03:45:54Z,15s,680.140461,6.660096
2022-09-09T03:46:10Z,16s,777.012237,6.557696
2022-09-09T03:46:25Z,15s,818.703402,6.766592
2022-09-09T03:46:44Z,19s,799.645639,6.897664
2022-09-09T03:47:02Z,18s,838.823322,7.028736
2022-09-09T03:47:20Z,18s,799.249854,6.930432
2022-09-09T03:47:33Z,13s,806.266284,6.98368
2022-09-09T03:47:47Z,14s,822.375709,6.9632
2022-09-09T03:48:05Z,18s,787.097996,7.204864
2022-09-09T03:48:17Z,12s,825.367974,6.9632
2022-09-09T03:48:35Z,18s,786.104258,8.11008
2022-09-09T03:48:45Z,10s,855.850823,7.528448
2022-09-09T03:48:59Z,14s,807.885012,7.073792
