timestamp,window,cpu (millicores),memory (megabytes)
2022-09-09T04:25:44Z,17s,439.552254,5.505024
2022-09-09T04:26:00Z,16s,1054.682652,5.828608
2022-09-09T04:26:18Z,18s,1076.042849,5.787648
2022-09-09T04:26:35Z,17s,1830.076209,6.176768
2022-09-09T04:26:45Z,10s,2217.25712,6.242304
2022-09-09T04:26:56Z,11s,2165.303203,6.38976
2022-09-09T04:27:14Z,18s,2107.961866,6.516736
2022-09-09T04:27:25Z,11s,2091.099449,6.541312
2022-09-09T04:27:43Z,18s,2115.099941,6.463488
2022-09-09T04:27:56Z,13s,2038.487802,6.529024
2022-09-09T04:28:15Z,19s,2183.823375,6.656
2022-09-09T04:28:28Z,13s,2106.872407,6.67648
2022-09-09T04:28:48Z,20s,1946.541616,6.537216
2022-09-09T04:29:07Z,19s,2094.940688,6.705152
2022-09-09T04:29:21Z,14s,2029.677777,6.606848
2022-09-09T04:29:37Z,16s,2112.354147,6.61504
2022-09-09T04:29:51Z,14s,2006.162141,6.545408
2022-09-09T04:30:02Z,11s,2208.572464,6.71744
2022-09-09T04:30:17Z,15s,2011.94112,6.627328
2022-09-09T04:30:29Z,12s,2038.782533,6.680576
2022-09-09T04:30:41Z,12s,2140.841092,6.692864
2022-09-09T04:30:59Z,18s,2160.260195,6.561792
2022-09-09T04:31:19Z,20s,2017.944895,6.721536
2022-09-09T04:31:29Z,10s,2200.823824,6.643712
2022-09-09T04:31:43Z,14s,2030.739328,6.668288
2022-09-09T04:32:01Z,18s,2045.050964,6.688768
2022-09-09T04:32:18Z,17s,2068.020608,6.709248
2022-09-09T04:32:33Z,15s,2134.610035,6.709248
2022-09-09T04:32:49Z,16s,2059.648314,6.590464
2022-09-09T04:33:06Z,17s,2128.266919,6.582272
2022-09-09T04:33:18Z,12s,2079.215023,6.8608
2022-09-09T04:33:34Z,16s,2164.500908,6.606848
