timestamp,window,cpu (millicores),memory (megabytes)
2022-09-09T04:20:36Z,12s,13.485086,5.128192
2022-09-09T04:20:36Z,12s,13.485086,5.128192
2022-09-09T04:21:05Z,29s,339.476115,5.586944
2022-09-09T04:21:19Z,14s,633.327658,5.586944
2022-09-09T04:21:33Z,14s,389.533697,5.586944
2022-09-09T04:21:46Z,13s,247.738641,5.586944
2022-09-09T04:21:56Z,10s,647.390925,5.85728
2022-09-09T04:22:08Z,12s,809.872499,6.197248
2022-09-09T04:22:24Z,16s,805.488532,6.73792
2022-09-09T04:22:41Z,17s,776.659236,6.73792
2022-09-09T04:22:55Z,14s,843.3871,6.742016
2022-09-09T04:23:22Z,27s,804.712733,7.143424
2022-09-09T04:23:33Z,11s,807.156422,6.864896
2022-09-09T04:23:47Z,14s,813.884931,6.864896
2022-09-09T04:24:06Z,19s,780.45082,6.873088
2022-09-09T04:24:21Z,15s,802.949503,6.770688
2022-09-09T04:24:35Z,14s,806.928088,7.032832
2022-09-09T04:24:49Z,14s,849.973628,6.811648
2022-09-09T04:24:49Z,14s,849.973628,6.811648
