timestamp,window,cpu (millicores),memory (megabytes)
2022-09-09T04:40:37Z,15s,121.678981,5.292032
2022-09-09T04:40:56Z,19s,782.407913,6.074368
2022-09-09T04:41:08Z,12s,834.857041,6.230016
2022-09-09T04:41:25Z,17s,780.057447,6.406144
2022-09-09T04:41:44Z,19s,841.46495,6.975488
2022-09-09T04:42:01Z,17s,777.503666,6.836224
2022-09-09T04:42:17Z,16s,809.029144,6.868992
2022-09-09T04:42:34Z,17s,837.400386,6.73792
2022-09-09T04:42:48Z,14s,779.260475,6.88128
2022-09-09T04:42:48Z,14s,779.260475,6.88128
2022-09-09T04:43:05Z,17s,836.321937,6.848512
2022-09-09T04:43:23Z,18s,790.355835,7.213056
2022-09-09T04:43:37Z,14s,793.736552,7.471104
2022-09-09T04:43:50Z,13s,832.605402,7.000064
