timestamp,window,cpu (millicores),memory (megabytes)
2022-09-09T04:43:45Z,21s,679.959361,5.820416
2022-09-09T04:44:02Z,17s,1100.412711,5.87776
2022-09-09T04:44:13Z,11s,972.877441,5.89824
2022-09-09T04:44:24Z,11s,1611.796376,6.10304
2022-09-09T04:44:48Z,24s,2024.381889,6.373376
2022-09-09T04:44:48Z,24s,2024.381889,6.373376
2022-09-09T04:45:08Z,20s,2045.243618,6.402048
2022-09-09T04:45:28Z,20s,2051.266361,6.57408
2022-09-09T04:45:47Z,19s,2046.184148,6.705152
2022-09-09T04:46:02Z,15s,2085.720162,6.713344
2022-09-09T04:46:14Z,12s,2044.193747,6.791168
2022-09-09T04:46:32Z,18s,2010.55821,6.721536
2022-09-09T04:46:47Z,15s,2022.705305,6.729728
2022-09-09T04:46:59Z,12s,2166.711146,6.57408
2022-09-09T04:47:17Z,18s,2056.410169,6.59456
2022-09-09T04:47:17Z,18s,2056.410169,6.59456
2022-09-09T04:47:48Z,31s,2075.375364,6.701056
2022-09-09T04:47:59Z,11s,1952.460444,6.582272
2022-09-09T04:48:10Z,11s,2051.015725,6.602752
2022-09-09T04:48:24Z,14s,2028.325549,6.754304
2022-09-09T04:48:40Z,16s,2170.392119,6.713344
2022-09-09T04:48:54Z,14s,2054.429493,6.795264
2022-09-09T04:49:07Z,13s,2002.260033,6.787072
2022-09-09T04:49:27Z,20s,2005.949652,6.656
2022-09-09T04:49:40Z,13s,2064.197782,6.651904
2022-09-09T04:49:52Z,12s,2021.296967,6.672384
2022-09-09T04:50:12Z,20s,2008.868767,6.721536
2022-09-09T04:50:23Z,11s,2197.16391,6.8608
2022-09-09T04:50:43Z,20s,2034.002432,6.905856
2022-09-09T04:50:59Z,16s,2114.143847,6.766592
2022-09-09T04:51:18Z,19s,1989.255756,6.856704
2022-09-09T04:51:34Z,16s,2055.784432,6.918144
