timestamp,window,cpu (millicores),memory (megabytes)
2022-09-08T16:38:04Z,13s,42.788039,5.59104
2022-09-08T16:38:21Z,17s,50.863598,5.812224
2022-09-08T16:38:38Z,17s,47.793364,6.004736
2022-09-08T16:38:55Z,17s,51.359354,6.18496
2022-09-08T16:39:09Z,14s,49.962796,6.18496
2022-09-08T16:39:24Z,15s,51.738195,6.189056
2022-09-08T16:39:36Z,12s,48.782786,6.418432
2022-09-08T16:39:53Z,17s,48.444639,6.463488
2022-09-08T16:40:08Z,15s,50.460512,6.463488
2022-09-08T16:40:26Z,18s,49.733616,6.467584
2022-09-08T16:40:40Z,14s,50.339584,6.467584
2022-09-08T16:40:56Z,16s,51.2962,6.467584
2022-09-08T16:41:16Z,20s,49.751318,6.467584
2022-09-08T16:41:31Z,15s,49.855392,5.65248
