timestamp,window,cpu (millicores),memory (megabytes)
2022-09-08T16:59:37Z,16s,263.9348,5.38624
2022-09-08T16:59:55Z,18s,613.777506,7.036928
2022-09-08T17:00:09Z,14s,697.631314,6.811648
2022-09-08T17:00:33Z,24s,661.34396,6.81984
2022-09-08T17:00:48Z,15s,672.770692,7.077888
2022-09-08T17:00:59Z,11s,663.057739,6.807552
2022-09-08T17:01:14Z,15s,656.729347,7.028736
2022-09-08T17:01:29Z,15s,674.19688,6.987776
2022-09-08T17:01:44Z,15s,651.280246,6.88128
2022-09-08T17:02:00Z,16s,677.35696,7.098368
2022-09-08T17:02:17Z,17s,672.360277,6.971392
2022-09-08T17:02:30Z,13s,655.037582,7.258112
2022-09-08T17:02:41Z,11s,665.83482,6.930432
2022-09-08T17:03:00Z,19s,649.4864,7.057408
