timestamp,window,cpu (millicores),memory (megabytes)
2022-09-04T18:51:51Z,20s,48.436692,5.537792
2022-09-04T18:52:07Z,16s,49.59309,5.65248
2022-09-04T18:52:18Z,11s,53.207613,5.71392
2022-09-04T18:52:45Z,27s,49.493676,5.763072
2022-09-04T18:52:58Z,13s,51.096478,5.763072
2022-09-04T18:52:58Z,13s,51.096478,5.763072
2022-09-04T18:53:31Z,33s,49.6808,5.808128
2022-09-04T18:53:31Z,33s,49.6808,5.808128
2022-09-04T18:54:01Z,30s,49.504721,5.812224
2022-09-04T18:54:14Z,13s,49.643399,5.81632
2022-09-04T18:54:32Z,18s,49.803428,5.783552
2022-09-04T18:54:32Z,18s,49.803428,5.783552
