timestamp,window,cpu (millicores),memory (megabytes)
2022-09-04T18:55:21Z,20s,132.865168,5.951488
2022-09-04T18:55:38Z,17s,183.965015,6.217728
2022-09-04T18:55:56Z,18s,180.207443,6.537216
2022-09-04T18:56:16Z,20s,176.522004,6.520832
2022-09-04T18:56:30Z,14s,173.003601,6.397952
2022-09-04T18:56:44Z,14s,179.702745,6.5536
2022-09-04T18:56:54Z,10s,189.481466,6.5536
2022-09-04T18:57:11Z,17s,175.327072,6.414336
2022-09-04T18:57:21Z,10s,194.127459,6.422528
2022-09-04T18:57:41Z,20s,178.879643,6.5536
2022-09-04T18:57:57Z,16s,172.819758,6.426624
2022-09-04T18:58:10Z,13s,189.250263,6.5536
2022-09-04T18:58:41Z,14s,171.348545,6.426624
