timestamp,window,cpu (millicores),memory (megabytes)
2022-09-04T18:58:32Z,13s,381.213577,5.238784
2022-09-04T18:58:50Z,18s,369.427278,5.259264
2022-09-04T18:59:06Z,16s,445.806183,7.24992
2022-09-04T18:59:21Z,15s,625.987336,7.950336
2022-09-04T18:59:38Z,17s,645.719291,7.262208
2022-09-04T18:59:55Z,17s,646.48102,6.893568
2022-09-04T19:00:12Z,17s,640.194292,6.950912
2022-09-04T19:00:24Z,12s,621.287424,6.828032
2022-09-04T19:00:43Z,19s,655.486989,6.856704
2022-09-04T19:00:54Z,11s,651.427402,6.774784
2022-09-04T19:01:10Z,16s,614.9573,6.877184
2022-09-04T19:01:20Z,10s,693.548994,7.266304
2022-09-04T19:01:34Z,14s,637.941029,6.844416
2022-09-04T19:01:53Z,19s,624.509434,7.233536
2022-09-04T19:02:09Z,16s,641.980306,6.934528
2022-09-04T19:02:26Z,17s,637.983785,6.71744
2022-09-04T19:02:41Z,15s,663.638139,6.668288
2022-09-04T19:02:53Z,12s,625.028851,6.664192
2022-09-04T19:03:08Z,15s,659.521286,6.8608
2022-09-04T19:03:27Z,19s,645.149844,6.67648
2022-09-04T19:03:47Z,20s,619.490751,6.938624
2022-09-04T19:03:47Z,20s,619.490751,6.938624
2022-09-04T19:04:15Z,28s,641.262133,6.561792
2022-09-04T19:04:31Z,16s,652.861504,7.012352
2022-09-04T19:04:31Z,16s,652.861504,7.012352
2022-09-04T19:04:49Z,18s,641.287291,6.754304
2022-09-04T19:05:17Z,28s,630.773204,6.94272
2022-09-04T19:05:17Z,28s,630.773204,6.94272
2022-09-04T19:05:44Z,27s,652.130096,6.557696
2022-09-04T19:05:56Z,12s,661.297942,7.041024
2022-09-04T19:06:10Z,14s,616.077382,6.602752
