timestamp,window,cpu (millicores),memory (megabytes)
2022-09-05T11:01:33Z,12s,154.96167,5.505024
2022-09-05T11:01:47Z,14s,181.273798,5.885952
2022-09-05T11:02:04Z,17s,175.359427,6.160384
2022-09-05T11:02:16Z,12s,187.015935,6.156288
2022-09-05T11:02:45Z,29s,177.558944,6.172672
2022-09-05T11:02:45Z,29s,177.558944,6.172672
2022-09-05T11:03:04Z,19s,181.588998,6.06208
2022-09-05T11:03:17Z,13s,174.379873,6.189056
2022-09-05T11:03:36Z,19s,177.732905,6.189056
2022-09-05T11:03:53Z,17s,183.157848,6.074368
