timestamp,window,cpu (millicores),memory (megabytes)
2022-09-04T17:45:02Z,13s,365.326664,2424.283136
2022-09-04T17:45:12Z,10s,451.986321,2435.760128
2022-09-04T17:45:33Z,21s,370.55651,2436.161536
2022-09-04T17:45:43Z,10s,377.175962,2436.595712
2022-09-04T17:46:03Z,20s,404.57471,2435.977216
2022-09-04T17:46:13Z,10s,425.673985,2436.272128
2022-09-04T17:46:33Z,20s,483.048786,2438.692864
2022-09-04T17:46:44Z,11s,525.09164,2444.447744
2022-09-04T17:47:04Z,20s,815.839093,2438.660096
2022-09-04T17:47:14Z,10s,1298.188609,2438.832128
2022-09-04T17:47:34Z,20s,1219.27288,2438.754304
2022-09-04T17:47:44Z,10s,1275.381746,2442.838016
2022-09-04T17:48:04Z,20s,1772.309878,2439.282688
2022-09-04T17:48:15Z,11s,1621.720634,2439.012352
2022-09-04T17:48:35Z,20s,1765.178787,2439.593984
2022-09-04T17:48:45Z,10s,1785.057455,2439.794688
2022-09-04T17:48:55Z,10s,1796.465507,2439.696384
2022-09-04T17:49:15Z,20s,1797.508955,2440.126464
2022-09-04T17:49:25Z,10s,1809.122289,2440.491008
2022-09-04T17:49:46Z,21s,1692.419719,2438.524928
2022-09-04T17:49:56Z,10s,1788.15749,2438.549504
2022-09-04T17:50:16Z,20s,1800.342037,2439.077888
2022-09-04T17:50:26Z,10s,1796.413195,2439.159808
2022-09-04T17:50:46Z,20s,1584.01162,2439.151616
2022-09-04T17:50:56Z,10s,2336.555438,2439.090176
2022-09-04T17:51:17Z,21s,2593.972838,2438.59456
2022-09-04T17:51:27Z,10s,2702.241834,2438.647808
2022-09-04T17:51:47Z,20s,2923.420094,2437.742592
2022-09-04T17:51:57Z,10s,2954.184478,2438.012928
2022-09-04T17:52:17Z,20s,2963.586041,2437.128192
2022-09-04T17:52:27Z,10s,2981.311614,2437.136384
2022-09-04T17:52:48Z,21s,2822.283231,2437.369856
2022-09-04T17:52:58Z,10s,3091.1238,2437.738496
2022-09-04T17:53:18Z,20s,2999.988337,2437.726208
2022-09-04T17:53:28Z,10s,3037.41091,2437.85728
2022-09-04T17:53:49Z,21s,2888.559636,2437.636096
2022-09-04T17:53:59Z,10s,2992.13535,2437.709824
2022-09-04T17:54:19Z,20s,2971.241222,2438.098944
2022-09-04T17:54:29Z,10s,3031.164905,2437.881856
2022-09-04T17:54:49Z,20s,2985.581801,2437.967872
2022-09-04T17:55:00Z,11s,2733.005584,2438.242304
2022-09-04T17:55:20Z,20s,2948.218548,2438.029312
2022-09-04T17:55:30Z,10s,3006.317076,2438.115328
2022-09-04T17:55:40Z,10s,3058.002953,2436.677632
2022-09-04T17:56:01Z,21s,2856.137808,2436.706304
2022-09-04T17:56:11Z,10s,2982.762244,2437.054464
2022-09-04T17:56:31Z,20s,2988.584944,2437.615616
2022-09-04T17:56:41Z,10s,2992.448661,2438.172672
2022-09-04T17:57:01Z,20s,3037.757579,2436.702208
2022-09-04T17:57:11Z,10s,2969.242757,2436.68992
2022-09-04T17:57:32Z,21s,2883.772625,2437.28384
2022-09-04T17:57:42Z,10s,2980.512337,2437.69344
2022-09-04T17:58:02Z,20s,3011.510228,2436.599808
2022-09-04T17:58:12Z,10s,3024.404253,2436.653056
2022-09-04T17:58:32Z,20s,3010.421939,2429.714432
2022-09-04T17:58:43Z,11s,2674.411915,2430.296064
2022-09-04T17:59:03Z,20s,2927.24026,2430.578688
2022-09-04T17:59:13Z,10s,2955.766339,2430.746624
2022-09-04T17:59:33Z,20s,2942.553574,2431.197184
2022-09-04T17:59:43Z,10s,2937.982198,2431.52896
