timestamp,window,cpu (millicores),memory (megabytes)
2022-09-04T17:46:55Z,19s,86.123075,5.2224
2022-09-04T17:47:09Z,14s,393.514262,5.615616
2022-09-04T17:47:23Z,14s,589.654268,5.697536
2022-09-04T17:47:42Z,19s,340.554803,5.697536
2022-09-04T17:47:58Z,16s,483.323007,6.59456
2022-09-04T17:48:17Z,19s,625.286696,6.84032
2022-09-04T17:48:28Z,11s,674.538603,6.84032
2022-09-04T17:48:47Z,19s,610.283657,6.8608
2022-09-04T17:48:58Z,11s,614.364551,6.8608
2022-09-04T17:49:17Z,19s,646.988363,6.852608
2022-09-04T17:49:32Z,15s,612.597217,6.729728
2022-09-04T17:49:44Z,12s,645.584293,6.53312
2022-09-04T17:50:02Z,18s,638.999632,6.754304
2022-09-04T17:50:16Z,14s,630.182847,6.889472
2022-09-04T17:50:26Z,10s,633.539675,7.036928
2022-09-04T17:50:46Z,20s,626.684458,6.938624
2022-09-04T17:51:01Z,15s,600.11845,6.914048
2022-09-04T17:51:19Z,18s,643.665404,6.930432
