timestamp,window,cpu (millicores),memory (megabytes)
2022-09-05T11:18:40Z,19s,307.1136,5.787648
2022-09-05T11:18:52Z,12s,901.94696,5.906432
2022-09-05T11:19:09Z,17s,880.95557,5.951488
2022-09-05T11:19:19Z,10s,945.946148,6.119424
2022-09-05T11:19:48Z,29s,916.031961,6.217728
2022-09-05T11:19:48Z,29s,916.031961,6.217728
2022-09-05T11:20:07Z,19s,881.195085,6.524928
2022-09-05T11:20:26Z,19s,915.441967,6.496256
2022-09-05T11:20:40Z,14s,856.738383,6.57408
2022-09-05T11:20:56Z,16s,906.174069,6.88128
2022-09-05T11:21:13Z,17s,946.62732,6.807552
2022-09-05T11:21:32Z,19s,906.40911,7.626752
2022-09-05T11:21:43Z,11s,879.212859,7.483392
2022-09-05T11:21:57Z,14s,971.613632,7.307264
2022-09-05T11:22:15Z,18s,893.565887,7.593984
2022-09-05T11:22:33Z,18s,942.648513,7.43424
2022-09-05T11:22:45Z,12s,916.141959,7.385088
2022-09-05T11:22:45Z,12s,916.141959,7.385088
2022-09-05T11:23:16Z,31s,903.941058,7.405568
2022-09-05T11:23:29Z,13s,894.393041,7.389184
2022-09-05T11:23:45Z,16s,916.095457,7.319552
2022-09-05T11:23:56Z,11s,939.922196,7.35232
2022-09-05T11:24:11Z,15s,909.394735,7.385088
2022-09-05T11:24:23Z,12s,885.124686,7.294976
2022-09-05T11:24:39Z,16s,949.011487,7.725056
2022-09-05T11:24:58Z,19s,916.833597,7.204864
2022-09-05T11:25:14Z,16s,927.510071,7.417856
2022-09-05T11:25:29Z,15s,908.610991,7.39328
2022-09-05T11:25:42Z,13s,894.766589,7.278592
2022-09-05T11:26:00Z,18s,915.419348,7.561216
2022-09-05T11:26:14Z,14s,949.648581,7.22944
2022-09-05T11:26:28Z,14s,870.222495,7.528448
2022-09-05T11:26:44Z,16s,943.842753,7.319552
2022-09-05T11:27:01Z,17s,893.897477,7.565312
2022-09-05T11:27:11Z,10s,953.859579,7.430144
2022-09-05T11:27:22Z,11s,857.781163,7.438336
2022-09-05T11:27:38Z,16s,915.777988,7.35232
2022-09-05T11:27:49Z,11s,940.418548,7.327744
2022-09-05T11:28:07Z,18s,926.381807,7.528448
2022-09-05T11:28:26Z,19s,896.898238,7.41376
2022-09-05T11:28:38Z,12s,946.455223,7.401472
2022-09-05T11:28:57Z,19s,910.502976,7.31136
2022-09-05T11:29:17Z,20s,906.828076,7.544832
2022-09-05T11:29:17Z,20s,906.828076,7.544832
2022-09-05T11:29:36Z,19s,920.260255,7.41376
2022-09-05T11:30:01Z,25s,923.666351,7.409664
2022-09-05T11:30:13Z,12s,938.976582,7.421952
2022-09-05T11:30:32Z,19s,882.136727,7.35232
