timestamp,window,cpu (millicores),memory (megabytes)
2022-09-04T17:50:54Z,18s,494.285744,5.525504
2022-09-04T17:51:12Z,18s,1154.087481,5.779456
2022-09-04T17:51:31Z,19s,1115.552503,5.799936
2022-09-04T17:51:43Z,12s,1903.374553,6.131712
2022-09-04T17:51:57Z,14s,1091.15795,6.00064
2022-09-04T17:52:15Z,18s,1105.715069,6.008832
2022-09-04T17:52:32Z,17s,1168.367743,6.0416
2022-09-04T17:52:44Z,12s,985.228515,6.053888
2022-09-04T17:52:58Z,14s,982.127485,6.029312
2022-09-04T17:53:14Z,16s,1130.352719,6.06208
2022-09-04T17:53:26Z,12s,1072.893339,6.057984
2022-09-04T17:53:45Z,19s,952.395292,6.066176
2022-09-04T17:54:01Z,16s,1007.403406,6.06208
2022-09-04T17:54:12Z,11s,1074.519135,6.053888
2022-09-04T17:54:28Z,16s,1078.25146,6.070272
2022-09-04T17:54:43Z,15s,1051.830046,6.098944
2022-09-04T17:55:03Z,20s,961.528889,6.119424
2022-09-04T17:55:19Z,16s,1021.004734,6.090752
2022-09-04T17:55:19Z,16s,1021.004734,6.090752
2022-09-04T17:55:37Z,18s,1075.449646,6.107136
2022-09-04T17:55:55Z,18s,1033.6851,6.127616
2022-09-04T17:56:11Z,16s,1012.913202,6.152192
2022-09-04T17:56:28Z,17s,989.039085,6.139904
2022-09-04T17:56:42Z,14s,982.177879,6.189056
2022-09-04T17:57:00Z,18s,1004.220252,6.193152
2022-09-04T17:57:13Z,13s,1067.086436,6.193152
2022-09-04T17:57:29Z,16s,1013.422453,6.180864
2022-09-04T17:57:41Z,12s,1027.116868,6.18496
2022-09-04T17:58:02Z,21s,1032.771229,6.463488
2022-09-04T17:58:16Z,14s,998.595525,6.352896
