timestamp,window,cpu (millicores),memory (megabytes)
2022-09-04T17:51:51Z,12s,541.440641,5.517312
2022-09-04T17:52:07Z,16s,990.420884,5.71392
2022-09-04T17:52:21Z,14s,892.805245,5.75488
2022-09-04T17:52:38Z,17s,946.217641,5.763072
2022-09-04T17:52:52Z,14s,1095.211787,5.771264
2022-09-04T17:53:10Z,18s,1007.289411,5.783552
2022-09-04T17:53:22Z,12s,950.298704,5.791744
2022-09-04T17:53:48Z,26s,1088.136701,5.820416
2022-09-04T17:54:04Z,16s,1018.48571,5.81632
2022-09-04T17:54:04Z,16s,1018.48571,5.81632
2022-09-04T17:54:20Z,16s,1038.193369,5.828608
2022-09-04T17:54:38Z,18s,974.946712,5.832704
2022-09-04T17:55:02Z,24s,1043.684951,5.853184
2022-09-04T17:55:19Z,17s,1028.664758,5.85728
2022-09-04T17:55:19Z,17s,1028.664758,5.85728
2022-09-04T17:55:38Z,19s,998.955047,5.849088
2022-09-04T17:55:54Z,16s,1037.616498,5.881856
2022-09-04T17:56:07Z,13s,1034.908437,5.935104
2022-09-04T17:56:25Z,18s,1081.465487,5.894144
2022-09-04T17:56:38Z,13s,1074.465587,5.902336
2022-09-04T17:56:58Z,20s,1031.732931,5.894144
2022-09-04T17:57:14Z,16s,1042.473196,5.947392
2022-09-04T17:57:33Z,19s,1086.284417,5.95968
2022-09-04T17:57:48Z,15s,1050.819575,6.111232
2022-09-04T17:58:00Z,12s,1003.105232,5.98016
2022-09-04T17:58:15Z,15s,1110.913948,5.992448
2022-09-04T17:58:27Z,12s,1122.415711,6.00064
2022-09-04T17:58:41Z,14s,1839.120716,6.283264
2022-09-04T17:59:03Z,22s,2088.759442,6.258688
2022-09-04T17:59:20Z,17s,1955.325258,6.463488
2022-09-04T17:59:32Z,12s,2215.365352,6.549504
2022-09-04T17:59:45Z,13s,1898.725314,6.631424
