timestamp,window,cpu (millicores),memory (megabytes)
2022-09-05T14:03:43Z,20s,253.077834,5.34528
2022-09-05T14:03:59Z,16s,403.94322,5.378048
2022-09-05T14:04:09Z,10s,569.005787,6.520832
2022-09-05T14:04:28Z,19s,789.107271,7.847936
2022-09-05T14:04:53Z,25s,811.343949,7.098368
2022-09-05T14:05:06Z,13s,748.243383,7.122944
2022-09-05T14:05:24Z,18s,799.335739,7.10656
2022-09-05T14:05:38Z,14s,833.770192,7.131136
2022-09-05T14:05:51Z,13s,792.846505,7.10656
2022-09-05T14:06:03Z,12s,796.011638,7.10656
2022-09-05T14:06:22Z,19s,798.667737,7.233536
2022-09-05T14:06:22Z,19s,798.667737,7.233536
2022-09-05T14:06:42Z,20s,797.086114,6.938624
2022-09-05T14:07:01Z,19s,810.368219,7.168
2022-09-05T14:07:20Z,19s,805.96072,7.00416
2022-09-05T14:07:31Z,11s,772.571766,7.032832
2022-09-05T14:07:45Z,14s,818.957535,6.815744
2022-09-05T14:08:04Z,19s,812.492476,7.02464
2022-09-05T14:08:14Z,10s,818.815723,7.143424
2022-09-05T14:08:30Z,16s,779.793103,7.180288
2022-09-05T14:08:41Z,11s,842.528776,7.643136
2022-09-05T14:08:57Z,16s,757.446111,7.122944
2022-09-05T14:09:13Z,16s,842.165865,6.92224
2022-09-05T14:09:32Z,19s,783.06578,7.168
2022-09-05T14:09:43Z,11s,798.927873,6.938624
2022-09-05T14:09:59Z,16s,831.678631,6.959104
2022-09-05T14:10:10Z,11s,786.773101,7.532544
2022-09-05T14:10:29Z,19s,780.17902,7.323648
2022-09-05T14:10:39Z,10s,851.618626,7.512064
2022-09-05T14:10:55Z,16s,771.416402,7.487488
2022-09-05T14:11:12Z,17s,811.450178,7.327744
2022-09-05T14:11:24Z,12s,836.180688,7.51616
2022-09-05T14:11:44Z,20s,777.861281,7.397376
