timestamp,window,cpu (millicores),memory (megabytes)
2022-09-05T14:04:27Z,17s,236.507776,5.582848
2022-09-05T14:04:47Z,20s,761.478863,6.365184
2022-09-05T14:05:07Z,20s,796.925912,6.897664
2022-09-05T14:05:20Z,13s,815.249688,6.77888
2022-09-05T14:05:20Z,13s,815.249688,6.77888
2022-09-05T14:05:40Z,20s,799.616371,7.032832
2022-09-05T14:06:08Z,28s,805.333704,6.946816
2022-09-05T14:06:08Z,28s,805.333704,6.946816
2022-09-05T14:06:37Z,29s,812.333242,6.754304
2022-09-05T14:06:50Z,13s,783.654547,6.754304
2022-09-05T14:07:08Z,18s,792.028069,6.885376
2022-09-05T14:07:20Z,12s,817.136166,6.742016
2022-09-05T14:07:38Z,18s,815.316293,6.795264
2022-09-05T14:07:54Z,16s,774.123947,6.750208
2022-09-05T14:08:05Z,11s,789.685531,6.88128
2022-09-05T14:08:21Z,16s,788.528629,6.742016
2022-09-05T14:08:37Z,16s,838.024044,6.692864
2022-09-05T14:08:37Z,16s,838.024044,6.692864
2022-09-05T14:08:56Z,19s,792.753093,6.848512
2022-09-05T14:09:16Z,20s,797.785001,6.79936
2022-09-05T14:09:34Z,18s,789.513405,6.955008
2022-09-05T14:09:51Z,17s,778.28856,6.815744
2022-09-05T14:10:09Z,18s,831.039131,6.795264
2022-09-05T14:10:24Z,15s,777.473663,6.873088
2022-09-05T14:10:37Z,13s,842.172141,7.196672
2022-09-05T14:10:49Z,12s,804.560487,7.163904
2022-09-05T14:11:08Z,19s,793.649121,6.987776
2022-09-05T14:11:08Z,19s,793.649121,6.987776
2022-09-05T14:11:38Z,30s,803.529289,6.991872
2022-09-05T14:11:52Z,14s,787.73923,7.114752
2022-09-05T14:12:08Z,16s,809.775521,7.389184
2022-09-05T14:12:08Z,16s,809.775521,7.389184
