timestamp,window,cpu (millicores),memory (megabytes)
2022-09-05T14:21:25Z,14s,236.341548,5.287936
2022-09-05T14:21:41Z,16s,569.840962,5.435392
2022-09-05T14:22:09Z,28s,775.443575,6.426624
2022-09-05T14:22:23Z,14s,1418.213271,6.381568
2022-09-05T14:22:23Z,14s,1418.213271,6.381568
2022-09-05T14:22:51Z,28s,966.607733,6.397952
2022-09-05T14:23:08Z,17s,1120.587566,6.36928
2022-09-05T14:23:21Z,13s,1103.722135,6.397952
2022-09-05T14:23:36Z,15s,1122.585775,6.377472
2022-09-05T14:23:52Z,16s,1023.083414,6.381568
2022-09-05T14:23:52Z,16s,1023.083414,6.381568
2022-09-05T14:24:21Z,29s,1085.108029,6.402048
2022-09-05T14:24:37Z,16s,1169.198827,6.426624
2022-09-05T14:24:37Z,16s,1169.198827,6.426624
2022-09-05T14:24:56Z,19s,1077.570084,6.47168
2022-09-05T14:25:15Z,19s,1016.908206,6.479872
2022-09-05T14:25:32Z,17s,913.277069,6.504448
2022-09-05T14:25:47Z,15s,973.185095,6.516736
2022-09-05T14:26:07Z,20s,950.765184,6.520832
2022-09-05T14:26:07Z,20s,950.765184,6.520832
2022-09-05T14:26:25Z,18s,1041.52531,6.496256
2022-09-05T14:26:52Z,27s,1030.041758,6.53312
2022-09-05T14:26:52Z,27s,1030.041758,6.53312
2022-09-05T14:27:09Z,17s,913.950304,6.28736
2022-09-05T14:27:36Z,27s,920.228584,6.32832
2022-09-05T14:27:46Z,10s,1061.166665,6.311936
2022-09-05T14:27:58Z,12s,969.324852,6.303744
2022-09-05T14:28:13Z,15s,1032.874771,6.344704
2022-09-05T14:28:23Z,10s,1185.906149,6.373376
2022-09-05T14:28:43Z,20s,957.809644,6.381568
2022-09-05T14:28:55Z,12s,1133.212164,6.385664
2022-09-05T14:29:15Z,20s,1352.14917,6.955008
2022-09-05T14:29:32Z,17s,1641.485293,7.532544
2022-09-05T14:29:49Z,17s,1656.600157,7.68
2022-09-05T14:30:05Z,16s,1530.697085,7.970816
2022-09-05T14:30:21Z,16s,1661.380915,7.835648
