timestamp,window,cpu (millicores),memory (megabytes)
2022-09-05T14:18:25Z,14s,98.824832,5.34528
2022-09-05T14:18:39Z,14s,324.623447,6.807552
2022-09-05T14:18:56Z,17s,352.003987,6.791168
2022-09-05T14:19:16Z,20s,341.756703,6.868992
2022-09-05T14:19:36Z,20s,340.72068,6.733824
2022-09-05T14:19:48Z,12s,341.014482,6.844416
2022-09-05T14:20:03Z,15s,345.616817,6.856704
2022-09-05T14:20:22Z,19s,342.217547,6.733824
2022-09-05T14:20:22Z,19s,342.217547,6.733824
2022-09-05T14:20:51Z,29s,348.591383,6.836224
2022-09-05T14:20:51Z,29s,348.591383,6.836224
2022-09-05T14:21:22Z,31s,338.18243,6.832128
2022-09-05T14:21:33Z,11s,344.737091,6.844416
2022-09-05T14:21:52Z,19s,343.383177,6.848512
