timestamp,window,cpu (millicores),memory (megabytes)
2022-09-05T14:37:30Z,20s,502.637579,5.869568
2022-09-05T14:37:42Z,12s,957.254371,5.996544
2022-09-05T14:37:58Z,16s,925.177234,5.988352
2022-09-05T14:38:15Z,17s,938.183146,6.012928
2022-09-05T14:38:29Z,14s,938.442338,6.074368
2022-09-05T14:38:46Z,17s,919.694875,6.094848
2022-09-05T14:39:01Z,15s,962.560653,6.283264
2022-09-05T14:39:14Z,13s,839.626084,6.30784
2022-09-05T14:39:28Z,14s,974.141364,6.352896
2022-09-05T14:39:44Z,16s,938.611718,6.344704
2022-09-05T14:39:56Z,12s,898.207611,6.344704
2022-09-05T14:40:21Z,25s,952.689366,8.056832
2022-09-05T14:40:21Z,25s,952.689366,8.056832
2022-09-05T14:40:51Z,30s,933.991478,7.626752
2022-09-05T14:40:51Z,30s,933.991478,7.626752
2022-09-05T14:41:11Z,20s,911.976524,7.733248
2022-09-05T14:41:25Z,14s,922.116679,7.561216
2022-09-05T14:41:41Z,16s,942.118217,7.553024
2022-09-05T14:42:09Z,28s,935.981098,7.59808
2022-09-05T14:42:09Z,28s,935.981098,7.59808
2022-09-05T14:42:27Z,18s,946.356813,7.794688
2022-09-05T14:42:40Z,13s,964.777973,7.602176
2022-09-05T14:43:00Z,20s,934.148917,7.909376
2022-09-05T14:43:11Z,11s,922.066205,7.675904
2022-09-05T14:43:29Z,18s,909.062257,7.72096
2022-09-05T14:43:48Z,19s,950.907386,7.585792
2022-09-05T14:44:06Z,18s,956.807976,7.524352
2022-09-05T14:44:06Z,18s,956.807976,7.524352
2022-09-05T14:44:35Z,29s,940.519501,7.59808
2022-09-05T14:44:54Z,19s,894.0231,7.45472
2022-09-05T14:44:54Z,19s,894.0231,7.45472
2022-09-05T14:45:12Z,18s,965.894564,7.84384
2022-09-05T14:45:29Z,17s,952.133216,7.692288
2022-09-05T14:45:53Z,24s,913.924917,7.901184
2022-09-05T14:46:08Z,15s,965.238939,7.798784
2022-09-05T14:46:08Z,15s,965.238939,7.798784
2022-09-05T14:46:28Z,20s,935.557165,7.725056
2022-09-05T14:46:43Z,15s,886.282978,7.651328
2022-09-05T14:47:00Z,17s,946.733884,7.692288
2022-09-05T14:47:11Z,11s,986.14765,7.68
2022-09-05T14:47:37Z,26s,932.240808,7.606272
2022-09-05T14:47:50Z,13s,882.89319,7.790592
2022-09-05T14:48:02Z,12s,946.679479,7.651328
2022-09-05T14:48:13Z,11s,985.814793,7.811072
