timestamp,window,cpu (millicores),memory (megabytes)
2022-09-05T15:29:24Z,15s,80.482525,5.267456
2022-09-05T15:29:49Z,25s,396.440167,5.492736
2022-09-05T15:30:02Z,13s,240.617797,5.492736
2022-09-05T15:30:15Z,13s,243.079471,5.517312
2022-09-05T15:30:30Z,15s,297.539167,5.648384
2022-09-05T15:30:48Z,18s,634.95332,7.032832
2022-09-05T15:30:48Z,18s,634.95332,7.032832
2022-09-05T15:31:07Z,19s,617.853118,6.610944
2022-09-05T15:31:23Z,16s,665.183606,6.582272
2022-09-05T15:31:41Z,18s,639.037232,6.770688
2022-09-05T15:31:55Z,14s,655.913537,6.668288
