timestamp,window,cpu (millicores),memory (megabytes)
2022-09-05T16:11:22Z,14s,516.432174,5.537792
2022-09-05T16:11:40Z,18s,931.738689,5.746688
2022-09-05T16:11:56Z,16s,922.366567,5.861376
2022-09-05T16:12:14Z,18s,898.945787,5.873664
2022-09-05T16:12:26Z,12s,1058.350032,5.890048
2022-09-05T16:12:43Z,17s,1051.741784,5.926912
2022-09-05T16:12:57Z,14s,1000.081103,5.951488
2022-09-05T16:13:16Z,19s,951.413806,5.943296
2022-09-05T16:13:29Z,13s,1043.190286,5.955584
2022-09-05T16:13:40Z,11s,859.446052,5.988352
2022-09-05T16:13:55Z,15s,1039.437462,5.967872
2022-09-05T16:14:09Z,14s,955.262521,5.988352
2022-09-05T16:14:26Z,17s,1008.594775,6.004736
2022-09-05T16:14:43Z,17s,873.677507,6.029312
2022-09-05T16:14:58Z,15s,1002.51129,6.0416
2022-09-05T16:15:13Z,15s,1040.547328,6.049792
2022-09-05T16:15:29Z,16s,994.745891,6.053888
2022-09-05T16:15:42Z,13s,1019.442876,6.057984
2022-09-05T16:15:57Z,15s,1058.566777,6.156288
2022-09-05T16:16:11Z,14s,1075.445366,6.156288
2022-09-05T16:16:26Z,15s,1020.336606,6.135808
2022-09-05T16:16:42Z,16s,866.134937,6.139904
2022-09-05T16:16:52Z,10s,991.284702,6.119424
2022-09-05T16:17:04Z,12s,749.383087,6.115328
2022-09-05T16:17:18Z,14s,923.275922,6.131712
2022-09-05T16:17:36Z,18s,1081.446837,6.152192
2022-09-05T16:18:00Z,24s,1082.88897,6.168576
2022-09-05T16:18:15Z,15s,1729.841191,6.619136
