timestamp,window,cpu (millicores),memory (megabytes)
2022-09-05T16:07:20Z,13s,202.720075,5.926912
2022-09-05T16:07:37Z,17s,291.360707,6.668288
2022-09-05T16:07:53Z,16s,305.606363,6.578176
2022-09-05T16:08:06Z,13s,320.710253,6.578176
2022-09-05T16:08:18Z,12s,301.271004,6.569984
2022-09-05T16:08:36Z,18s,295.201472,6.578176
2022-09-05T16:08:53Z,17s,307.858865,6.709248
2022-09-05T16:09:05Z,12s,313.84192,6.684672
2022-09-05T16:09:23Z,18s,295.414111,6.565888
2022-09-05T16:09:45Z,22s,298.004452,6.844416
