timestamp,window,cpu (millicores),memory (megabytes)
2022-09-05T16:46:16Z,11s,504.668657,5.451776
2022-09-05T16:46:29Z,13s,440.460024,5.46816
2022-09-05T16:46:42Z,13s,519.82052,5.533696
2022-09-05T16:46:56Z,14s,462.079139,5.541888
2022-09-05T16:47:07Z,11s,511.962414,6.529024
2022-09-05T16:47:26Z,19s,545.256934,8.024064
2022-09-05T16:47:43Z,17s,551.166035,7.913472
2022-09-05T16:47:56Z,13s,571.560704,7.507968
2022-09-05T16:48:07Z,11s,532.630584,7.319552
2022-09-05T16:48:26Z,19s,581.494507,7.430144
2022-09-05T16:48:42Z,16s,557.114123,7.217152
2022-09-05T16:48:53Z,11s,556.837224,7.266304
2022-09-05T16:49:10Z,17s,535.179796,6.848512
2022-09-05T16:49:28Z,18s,555.053698,6.828032
2022-09-05T16:49:46Z,18s,563.517778,6.836224
2022-09-05T16:50:01Z,15s,570.731386,6.88128
2022-09-05T16:50:16Z,15s,558.966134,6.619136
2022-09-05T16:50:30Z,14s,550.039796,6.643712
2022-09-05T16:50:48Z,18s,553.059184,6.627328
2022-09-05T16:50:48Z,18s,553.059184,6.627328
2022-09-05T16:51:05Z,17s,551.663724,6.606848
2022-09-05T16:51:34Z,29s,556.12856,6.729728
2022-09-05T16:51:34Z,29s,556.12856,6.729728
2022-09-05T16:51:53Z,19s,563.242716,6.598656
2022-09-05T16:52:09Z,16s,557.335466,6.971392
2022-09-05T16:52:28Z,19s,555.963679,6.742016
2022-09-05T16:52:47Z,19s,565.059373,6.57408
2022-09-05T16:52:57Z,10s,563.15198,6.742016
2022-09-05T16:53:08Z,11s,557.844994,6.709248
2022-09-05T16:53:23Z,15s,558.161307,6.729728
2022-09-05T16:53:40Z,17s,561.323173,6.631424
