timestamp,window,cpu (millicores),memory (megabytes)
2022-09-05T11:37:34Z,15s,127.86969,5.67296
2022-09-05T11:37:51Z,17s,579.312328,6.807552
2022-09-05T11:38:04Z,13s,551.203074,6.815744
2022-09-05T11:38:21Z,17s,557.141417,6.668288
2022-09-05T11:38:33Z,12s,575.868846,6.639616
2022-09-05T11:38:47Z,14s,561.802142,6.750208
2022-09-05T11:39:03Z,16s,573.11461,6.754304
2022-09-05T11:39:29Z,26s,567.849841,6.688768
2022-09-05T11:39:40Z,11s,575.797105,6.627328
2022-09-05T11:39:59Z,19s,553.759756,6.782976
2022-09-05T11:40:15Z,16s,547.634074,6.729728
2022-09-05T11:40:30Z,15s,566.361857,6.623232
2022-09-05T11:40:30Z,15s,566.361857,6.623232
2022-09-05T11:40:49Z,19s,593.075034,6.701056
