timestamp,window,cpu (millicores),memory (megabytes)
2022-09-04T19:28:00Z,20s,49.800648,5.505024
2022-09-04T19:28:22Z,22s,50.281131,5.67296
2022-09-04T19:28:35Z,13s,50.009176,5.545984
2022-09-04T19:28:46Z,11s,48.499262,5.689344
2022-09-04T19:29:02Z,16s,49.445873,5.574656
2022-09-04T19:29:16Z,14s,50.278111,5.578752
2022-09-04T19:29:31Z,15s,49.361856,5.578752
2022-09-04T19:29:44Z,13s,52.590485,5.578752
2022-09-04T19:30:00Z,16s,49.836434,5.582848
2022-09-04T19:30:15Z,15s,49.108485,5.582848
2022-09-04T19:30:34Z,19s,49.645325,5.586944
2022-09-04T19:30:47Z,13s,51.486252,5.586944
2022-09-04T19:31:06Z,19s,49.541205,4.747264
