timestamp,window,cpu (millicores),memory (megabytes)
2022-09-04T18:03:16Z,14s,48.917198,5.820416
2022-09-04T18:03:28Z,12s,49.031201,5.7344
2022-09-04T18:03:40Z,12s,52.828524,5.89824
2022-09-04T18:03:53Z,13s,48.972104,5.914624
2022-09-04T18:04:06Z,13s,51.165677,6.12352
2022-09-04T18:04:20Z,14s,49.655626,6.12352
2022-09-04T18:04:39Z,19s,48.282993,6.115328
2022-09-04T18:04:59Z,20s,49.498509,6.131712
2022-09-04T18:05:12Z,13s,51.055231,6.131712
2022-09-04T18:05:26Z,14s,52.329941,6.176768
2022-09-04T18:05:39Z,13s,48.952443,6.189056
