timestamp,window,cpu (millicores),memory (megabytes)
2022-09-04T18:05:53Z,20s,164.326945,5.259264
2022-09-04T18:06:17Z,24s,450.694252,6.651904
2022-09-04T18:06:17Z,24s,450.694252,6.651904
2022-09-04T18:06:34Z,17s,540.714545,6.742016
2022-09-04T18:06:53Z,19s,534.943653,6.975488
2022-09-04T18:07:07Z,14s,519.383012,6.7584
2022-09-04T18:07:18Z,11s,556.259549,6.639616
2022-09-04T18:07:36Z,18s,515.331107,6.569984
2022-09-04T18:07:52Z,16s,536.222962,6.721536
2022-09-04T18:08:17Z,25s,533.808652,6.692864
2022-09-04T18:08:17Z,25s,533.808652,6.692864
2022-09-04T18:08:35Z,18s,549.224763,6.680576
2022-09-04T18:08:58Z,23s,517.460544,6.569984
2022-09-04T18:09:14Z,16s,537.577674,6.71744
