timestamp,window,cpu (millicores),memory (megabytes)
2022-09-05T16:58:02Z,27s,49.959029,5.779456
2022-09-05T16:58:16Z,14s,49.543075,5.832704
2022-09-05T16:58:33Z,17s,48.854473,5.85728
2022-09-05T16:58:44Z,11s,54.384369,5.865472
2022-09-05T16:59:02Z,18s,48.746563,5.865472
2022-09-05T16:59:02Z,18s,48.746563,5.865472
2022-09-05T16:59:18Z,16s,50.561915,5.865472
2022-09-05T16:59:36Z,18s,50.677564,5.869568
2022-09-05T17:00:01Z,25s,49.068081,5.869568
2022-09-05T17:00:17Z,16s,49.14819,5.906432
2022-09-05T17:00:31Z,14s,50.465792,5.906432
2022-09-05T17:00:46Z,15s,49.309235,5.906432
2022-09-05T17:00:59Z,13s,52.690421,5.906432
