timestamp,window,cpu (millicores),memory (megabytes)
2022-09-05T11:53:30Z,13s,31.853225,5.210112
2022-09-05T11:53:58Z,28s,107.853444,5.34528
2022-09-05T11:54:15Z,17s,93.086868,5.34528
2022-09-05T11:54:15Z,17s,93.086868,5.34528
2022-09-05T11:54:44Z,29s,213.755089,6.5536
2022-09-05T11:54:59Z,15s,285.916071,6.5536
2022-09-05T11:55:11Z,12s,286.716319,6.77888
2022-09-05T11:55:22Z,11s,289.064867,6.742016
2022-09-05T11:55:37Z,15s,309.145526,6.92224
2022-09-05T11:55:50Z,13s,278.259936,6.926336
2022-09-05T11:56:07Z,17s,291.998879,6.77888
2022-09-05T11:56:26Z,19s,287.038233,6.918144
2022-09-05T11:56:26Z,19s,287.038233,6.918144
2022-09-05T11:56:57Z,31s,294.952148,6.770688
