timestamp,window,cpu (millicores),memory (megabytes)
2022-09-04T19:47:14Z,18s,81.733178,5.177344
2022-09-04T19:47:29Z,15s,198.877671,5.607424
2022-09-04T19:47:53Z,24s,266.071929,5.758976
2022-09-04T19:47:53Z,24s,266.071929,5.758976
2022-09-04T19:48:11Z,18s,184.348191,5.758976
2022-09-04T19:48:25Z,14s,249.792186,6.090752
2022-09-04T19:48:51Z,26s,298.805097,6.795264
2022-09-04T19:48:51Z,26s,298.805097,6.795264
2022-09-04T19:49:10Z,19s,281.015006,6.705152
2022-09-04T19:49:26Z,16s,302.100535,6.864896
2022-09-04T19:49:46Z,20s,286.219314,6.8608
2022-09-04T19:49:59Z,13s,292.066287,6.71744
2022-09-04T19:50:10Z,11s,291.913301,6.725632
2022-09-04T19:50:25Z,15s,305.546728,6.721536
2022-09-04T19:50:50Z,25s,291.629903,6.848512
2022-09-04T19:51:05Z,15s,288.412094,6.856704
2022-09-04T19:51:05Z,15s,288.412094,6.856704
2022-09-04T19:51:35Z,30s,290.044711,6.836224
