timestamp,window,cpu (millicores),memory (megabytes)
2022-09-04T20:05:10Z,16s,59.635693,5.185536
2022-09-04T20:05:23Z,13s,225.899786,5.533696
2022-09-04T20:05:42Z,19s,635.346497,5.57056
2022-09-04T20:05:53Z,11s,293.509709,5.574656
2022-09-04T20:06:10Z,17s,400.661492,5.910528
2022-09-04T20:06:24Z,14s,762.723863,6.598656
2022-09-04T20:06:36Z,12s,741.855431,6.590464
2022-09-04T20:06:54Z,18s,729.802527,6.877184
2022-09-04T20:07:21Z,27s,728.034043,6.754304
2022-09-04T20:07:32Z,11s,802.55064,6.98368
2022-09-04T20:07:50Z,18s,704.779701,7.049216
2022-09-04T20:08:05Z,15s,779.834005,7.634944
2022-09-04T20:08:05Z,15s,779.834005,7.634944
2022-09-04T20:08:25Z,20s,713.487178,7.737344
