timestamp,window,cpu (millicores),memory (megabytes)
2022-09-05T12:13:28Z,13s,111.155467,5.341184
2022-09-05T12:13:38Z,10s,695.860429,6.344704
2022-09-05T12:13:49Z,11s,717.999881,6.582272
2022-09-05T12:13:59Z,10s,776.726178,6.684672
2022-09-05T12:14:14Z,15s,714.775727,6.651904
2022-09-05T12:14:32Z,18s,729.99779,6.529024
2022-09-05T12:14:48Z,16s,784.902101,6.664192
2022-09-05T12:15:12Z,24s,728.211137,6.787072
2022-09-05T12:15:12Z,24s,728.211137,6.787072
2022-09-05T12:15:42Z,30s,743.812446,6.852608
2022-09-05T12:15:52Z,10s,761.508102,6.73792
2022-09-05T12:16:07Z,15s,723.137313,6.873088
2022-09-05T12:16:24Z,17s,725.597914,6.987776
2022-09-05T12:16:41Z,17s,740.146959,6.828032
2022-09-05T12:16:55Z,14s,789.272392,7.00416
2022-09-05T12:17:12Z,17s,724.389067,6.811648
2022-09-05T12:17:27Z,15s,732.494328,8.085504
2022-09-05T12:17:41Z,14s,730.547497,7.02464
2022-09-05T12:17:56Z,15s,776.772517,7.028736
