timestamp,window,cpu (millicores),memory (megabytes)
2022-09-05T12:17:35Z,17s,433.184808,5.562368
2022-09-05T12:17:45Z,10s,1105.157594,5.685248
2022-09-05T12:18:12Z,27s,1020.478119,5.75488
2022-09-05T12:18:12Z,27s,1020.478119,5.75488
2022-09-05T12:18:31Z,19s,1494.149145,6.16448
2022-09-05T12:18:48Z,17s,1106.812966,6.139904
2022-09-05T12:19:06Z,18s,920.826172,6.119424
2022-09-05T12:19:25Z,19s,991.374596,6.148096
2022-09-05T12:19:39Z,14s,972.221861,6.156288
2022-09-05T12:19:58Z,19s,1016.059477,6.144
2022-09-05T12:19:58Z,19s,1016.059477,6.144
2022-09-05T12:20:16Z,18s,1045.863216,6.168576
2022-09-05T12:20:34Z,18s,982.650358,6.168576
2022-09-05T12:20:48Z,14s,1034.75964,6.160384
2022-09-05T12:21:05Z,17s,1017.793055,6.180864
2022-09-05T12:21:20Z,15s,997.622449,6.197248
2022-09-05T12:21:34Z,14s,955.100891,6.197248
2022-09-05T12:21:54Z,20s,936.161213,6.213632
2022-09-05T12:22:08Z,14s,981.992349,6.22592
2022-09-05T12:22:24Z,16s,1036.235599,6.20544
2022-09-05T12:22:35Z,11s,959.598692,6.209536
2022-09-05T12:22:49Z,14s,1047.197711,6.22592
2022-09-05T12:23:02Z,13s,1126.034034,6.258688
2022-09-05T12:23:19Z,17s,934.594851,6.258688
2022-09-05T12:23:34Z,15s,935.484652,6.250496
2022-09-05T12:23:50Z,16s,1064.805853,6.254592
2022-09-05T12:24:04Z,14s,927.605258,6.258688
2022-09-05T12:24:20Z,16s,989.32055,0.006144
