timestamp,window,cpu (millicores),memory (megabytes)
2022-09-04T20:27:07Z,16s,307.703032,5.558272
2022-09-04T20:27:22Z,15s,770.473595,5.791744
2022-09-04T20:27:37Z,15s,1126.532936,5.885952
2022-09-04T20:27:50Z,13s,1370.063817,6.254592
2022-09-04T20:28:07Z,17s,2021.629236,6.262784
2022-09-04T20:28:23Z,16s,2144.530421,6.41024
2022-09-04T20:28:41Z,18s,2061.35266,6.631424
2022-09-04T20:28:52Z,11s,1973.94899,6.668288
2022-09-04T20:29:09Z,17s,2103.693457,6.742016
2022-09-04T20:29:27Z,18s,2088.599509,6.828032
2022-09-04T20:29:39Z,12s,1943.516161,6.811648
2022-09-04T20:29:57Z,18s,2105.337117,6.844416
2022-09-04T20:30:08Z,11s,2062.750952,6.69696
2022-09-04T20:30:21Z,13s,2064.014451,6.69696
2022-09-04T20:30:40Z,19s,2011.080332,6.832128
2022-09-04T20:30:54Z,14s,2093.627957,6.877184
2022-09-04T20:31:11Z,17s,2043.693533,6.750208
2022-09-04T20:31:27Z,16s,2115.191905,6.725632
2022-09-04T20:31:44Z,17s,2028.867573,6.766592
2022-09-04T20:32:00Z,16s,2112.07074,6.815744
2022-09-04T20:32:14Z,14s,2060.536115,6.680576
2022-09-04T20:32:26Z,12s,2021.153618,6.811648
2022-09-04T20:32:40Z,14s,2116.826159,6.709248
2022-09-04T20:32:56Z,16s,2005.110589,6.889472
2022-09-04T20:33:11Z,15s,2013.385553,6.92224
2022-09-04T20:33:26Z,15s,2082.179727,6.750208
2022-09-04T20:33:41Z,15s,2038.157978,6.746112
2022-09-04T20:33:54Z,13s,2076.411387,6.926336
2022-09-04T20:34:13Z,19s,2023.271852,6.828032
2022-09-04T20:34:31Z,18s,2095.142867,6.914048
2022-09-04T20:34:44Z,13s,2048.438719,6.914048
2022-09-04T20:34:59Z,15s,2095.554974,6.791168
2022-09-04T20:35:18Z,19s,1952.847718,6.803456
2022-09-04T20:35:30Z,12s,2060.20709,6.836224
2022-09-04T20:35:40Z,10s,2205.361192,6.828032
2022-09-04T20:35:53Z,13s,2016.377446,6.84032
