timestamp,window,cpu (millicores),memory (megabytes)
2022-09-05T12:29:42Z,27s,84.684301,5.36576
2022-09-05T12:29:54Z,12s,467.05798,5.378048
2022-09-05T12:30:05Z,11s,308.137673,5.378048
2022-09-05T12:30:18Z,13s,356.079304,5.410816
2022-09-05T12:30:34Z,16s,417.196097,6.242304
2022-09-05T12:30:52Z,18s,554.199436,6.787072
2022-09-05T12:31:06Z,14s,571.702183,6.864896
2022-09-05T12:31:26Z,20s,555.387071,6.94272
2022-09-05T12:31:26Z,20s,555.387071,6.94272
2022-09-05T12:31:45Z,19s,558.363181,6.7584
2022-09-05T12:31:59Z,14s,566.988128,6.7584
2022-09-05T12:32:18Z,19s,560.664227,6.67648
2022-09-05T12:32:34Z,16s,570.564174,6.631424
2022-09-05T12:32:52Z,18s,579.164685,6.701056
