timestamp,window,cpu (millicores),memory (megabytes)
2022-09-04T20:23:06Z,16s,16.563784,5.2224
2022-09-04T20:23:31Z,25s,379.247854,5.513216
2022-09-04T20:23:47Z,16s,305.36903,5.517312
2022-09-04T20:24:00Z,13s,238.502109,5.517312
2022-09-04T20:24:13Z,13s,211.673458,5.5296
2022-09-04T20:24:30Z,17s,525.172792,6.680576
2022-09-04T20:24:47Z,17s,564.409882,6.9632
2022-09-04T20:24:59Z,12s,559.182422,6.71744
2022-09-04T20:25:12Z,13s,537.627261,6.77888
2022-09-04T20:25:23Z,11s,582.471146,6.63552
2022-09-04T20:25:37Z,14s,575.261819,6.795264
2022-09-04T20:25:55Z,18s,561.894101,6.619136
2022-09-04T20:26:12Z,17s,566.313656,6.856704
2022-09-04T20:26:24Z,12s,554.879207,6.627328
2022-09-04T20:26:36Z,12s,554.441125,6.684672
2022-09-04T20:26:54Z,18s,575.970213,6.995968
2022-09-04T20:27:06Z,12s,530.35462,6.483968
2022-09-04T20:27:24Z,18s,563.444516,6.885376
