timestamp,window,cpu (millicores),memory (megabytes)
2022-09-05T12:52:30Z,19s,107.128202,5.287936
2022-09-05T12:52:48Z,18s,339.300572,5.332992
2022-09-05T12:53:07Z,19s,477.800187,5.46816
2022-09-05T12:53:21Z,14s,875.416617,7.757824
2022-09-05T12:53:32Z,11s,876.147563,7.458816
2022-09-05T12:53:45Z,13s,910.425999,7.319552
2022-09-05T12:54:02Z,17s,919.566645,7.131136
2022-09-05T12:54:16Z,14s,940.215005,7.221248
2022-09-05T12:54:30Z,14s,914.978597,7.04512
2022-09-05T12:54:47Z,17s,915.926266,7.151616
2022-09-05T12:55:07Z,20s,903.715665,6.967296
2022-09-05T12:55:07Z,20s,903.715665,6.967296
2022-09-05T12:55:26Z,19s,893.312931,6.987776
2022-09-05T12:55:46Z,20s,909.404173,6.897664
2022-09-05T12:56:02Z,16s,915.742834,6.967296
2022-09-05T12:56:20Z,18s,899.461667,6.938624
2022-09-05T12:56:33Z,13s,893.612431,6.934528
2022-09-05T12:56:50Z,17s,852.536162,6.946816
2022-09-05T12:57:05Z,15s,958.336409,6.950912
2022-09-05T12:57:23Z,18s,889.806981,6.909952
2022-09-05T12:57:39Z,16s,907.526829,6.88128
2022-09-05T12:57:51Z,12s,935.960208,6.893568
2022-09-05T12:58:06Z,15s,907.246054,7.036928
2022-09-05T12:58:06Z,15s,907.246054,7.036928
2022-09-05T12:58:37Z,31s,898.308466,6.823936
2022-09-05T12:58:37Z,31s,898.308466,6.823936
2022-09-05T12:59:06Z,29s,914.716954,6.950912
2022-09-05T12:59:06Z,29s,914.716954,6.950912
2022-09-05T12:59:25Z,19s,881.451926,6.848512
2022-09-05T12:59:43Z,18s,925.41554,6.823936
