timestamp,window,cpu (millicores),memory (megabytes)
2022-09-05T12:53:39Z,28s,527.463218,5.943296
2022-09-05T12:53:52Z,13s,911.498435,5.95968
2022-09-05T12:54:07Z,15s,883.075612,5.881856
2022-09-05T12:54:22Z,15s,940.029519,6.168576
2022-09-05T12:54:22Z,15s,940.029519,6.168576
2022-09-05T12:54:41Z,19s,886.823383,6.20544
2022-09-05T12:54:57Z,16s,933.007681,6.176768
2022-09-05T12:55:13Z,16s,922.292857,6.213632
2022-09-05T12:55:29Z,16s,903.918336,6.193152
2022-09-05T12:55:49Z,20s,865.614817,6.201344
2022-09-05T12:56:04Z,15s,909.741217,6.16448
2022-09-05T12:56:24Z,20s,891.859896,6.352896
2022-09-05T12:56:24Z,20s,891.859896,6.352896
2022-09-05T12:56:40Z,16s,960.824243,6.340608
2022-09-05T12:56:57Z,17s,910.227851,6.77888
2022-09-05T12:57:20Z,23s,908.424801,6.787072
2022-09-05T12:57:32Z,12s,911.789083,6.811648
2022-09-05T12:57:46Z,14s,906.017923,6.795264
2022-09-05T12:58:03Z,17s,890.394836,6.79936
2022-09-05T12:58:16Z,13s,916.57653,6.811648
2022-09-05T12:58:27Z,11s,901.365784,6.79936
2022-09-05T12:58:42Z,15s,879.340051,6.569984
2022-09-05T12:59:08Z,26s,929.578113,6.5536
2022-09-05T12:59:19Z,11s,845.222359,6.5536
2022-09-05T12:59:38Z,19s,901.130199,6.684672
2022-09-05T12:59:54Z,16s,934.231134,6.92224
2022-09-05T12:59:54Z,16s,934.231134,6.92224
2022-09-05T13:00:23Z,29s,922.716147,7.7824
