timestamp,window,cpu (millicores),memory (megabytes)
2022-09-04T20:42:03Z,14s,131.385729,5.607424
2022-09-04T20:42:31Z,28s,209.554677,0.006144
2022-09-04T20:42:31Z,28s,209.554677,0.006144
2022-09-04T20:42:48Z,17s,211.532505,6.373376
2022-09-04T20:43:15Z,27s,210.080643,6.356992
2022-09-04T20:43:28Z,13s,213.643302,6.459392
2022-09-04T20:43:40Z,12s,218.435037,6.434816
2022-09-04T20:43:54Z,14s,208.623941,6.569984
2022-09-04T20:44:15Z,21s,215.160302,6.434816
2022-09-04T20:44:15Z,21s,215.160302,6.434816
2022-09-04T20:44:34Z,19s,214.017415,6.561792
2022-09-04T20:44:50Z,16s,201.156692,6.569984
2022-09-04T20:45:04Z,14s,218.811649,6.57408
2022-09-04T20:45:27Z,23s,206.907842,6.4512
