timestamp,window,cpu (millicores),memory (megabytes)
2022-09-04T20:57:05Z,10s,1055.725406,3804.315648
2022-09-04T20:57:25Z,20s,1297.68144,3855.273984
2022-09-04T20:57:35Z,10s,1054.355729,3862.573056
2022-09-04T20:57:55Z,20s,1074.020537,3877.494784
2022-09-04T20:58:05Z,10s,1059.486032,3870.470144
2022-09-04T20:58:25Z,20s,1079.69551,3900.416
2022-09-04T20:58:36Z,11s,1002.914467,3863.2448
2022-09-04T20:58:56Z,20s,1098.396265,3829.866496
2022-09-04T20:59:06Z,10s,1047.992381,3797.315584
2022-09-04T20:59:26Z,20s,1104.638014,3605.942272
2022-09-04T20:59:36Z,10s,1028.704331,3587.465216
2022-09-04T20:59:56Z,20s,1072.850231,3587.387392
2022-09-04T21:00:06Z,10s,1052.204974,3592.671232
2022-09-04T21:00:27Z,21s,1021.508199,3586.31424
2022-09-04T21:00:37Z,10s,1067.641215,3589.709824
2022-09-04T21:00:57Z,20s,1082.20308,3589.414912
2022-09-04T21:01:07Z,10s,1091.250985,3594.350592
2022-09-04T21:01:27Z,20s,1082.559584,3587.346432
2022-09-04T21:01:37Z,10s,1078.561421,3592.17152
2022-09-04T21:01:57Z,20s,1053.33057,3582.959616
2022-09-04T21:02:08Z,11s,956.706079,3585.060864
2022-09-04T21:02:28Z,20s,1074.127542,3582.255104
2022-09-04T21:02:38Z,10s,1055.462704,3591.647232
2022-09-04T21:02:58Z,20s,1069.405672,3582.5664
2022-09-04T21:03:08Z,10s,1083.842015,3587.428352
2022-09-04T21:03:28Z,20s,1074.727242,3583.115264
2022-09-04T21:03:38Z,10s,1137.666515,3588.763648
2022-09-04T21:03:58Z,20s,1063.353833,3555.352576
2022-09-04T21:04:09Z,11s,953.950228,3555.77856
2022-09-04T21:04:29Z,20s,1047.743256,3573.10464
2022-09-04T21:04:39Z,10s,1084.936203,3552.837632
2022-09-04T21:04:59Z,20s,1083.241051,3554.021376
2022-09-04T21:05:09Z,10s,1049.53044,3563.884544
2022-09-04T21:05:19Z,10s,1062.33511,3559.05536
2022-09-04T21:05:39Z,20s,1057.669683,3553.988608
2022-09-04T21:05:49Z,10s,1023.545625,3554.578432
2022-09-04T21:06:10Z,21s,1020.060448,3554.627584
2022-09-04T21:06:20Z,10s,1036.436895,3553.959936
2022-09-04T21:06:40Z,20s,1011.904146,3554.156544
2022-09-04T21:06:50Z,10s,1051.578063,3566.260224
2022-09-04T21:07:10Z,20s,1057.178251,3565.604864
2022-09-04T21:07:20Z,10s,1109.939202,3561.45152
2022-09-04T21:07:40Z,20s,1064.232937,3565.080576
2022-09-04T21:07:51Z,11s,998.375065,3565.498368
2022-09-04T21:08:11Z,20s,1068.727702,3563.384832
2022-09-04T21:08:21Z,10s,1136.037539,3566.36672
2022-09-04T21:08:41Z,20s,1074.819087,3564.785664
2022-09-04T21:08:51Z,10s,1056.418857,3565.50656
2022-09-04T21:09:11Z,20s,1080.201853,3569.242112
2022-09-04T21:09:21Z,10s,1052.673422,3554.496512
2022-09-04T21:09:42Z,21s,1008.785682,3566.85824
2022-09-04T21:09:52Z,10s,962.281218,3563.02848
2022-09-04T21:10:12Z,20s,1064.852015,3563.892736
2022-09-04T21:10:22Z,10s,1062.931478,3554.914304
2022-09-04T21:10:42Z,20s,1076.176782,3554.369536
2022-09-04T21:10:52Z,10s,1102.618822,3563.52
2022-09-04T21:11:12Z,20s,1047.41233,3554.533376
2022-09-04T21:11:23Z,11s,984.112156,3573.813248
2022-09-04T21:11:43Z,20s,1054.178918,3565.469696
2022-09-04T21:11:53Z,10s,1075.847273,3561.82016
