timestamp,window,cpu (millicores),memory (megabytes)
2022-09-05T13:28:21Z,14s,241.962186,5.464064
2022-09-05T13:28:48Z,27s,1114.368832,5.726208
2022-09-05T13:29:02Z,14s,1094.563941,5.77536
2022-09-05T13:29:19Z,17s,1960.97612,6.414336
2022-09-05T13:29:19Z,17s,1960.97612,6.414336
2022-09-05T13:29:36Z,17s,2093.899941,6.397952
2022-09-05T13:29:52Z,16s,2090.823066,6.434816
2022-09-05T13:30:08Z,16s,2050.944038,6.656
2022-09-05T13:30:27Z,19s,2086.633072,6.606848
2022-09-05T13:30:41Z,14s,2036.175494,6.610944
2022-09-05T13:30:56Z,15s,2099.422659,6.619136
2022-09-05T13:31:14Z,18s,2017.305843,6.651904
2022-09-05T13:31:32Z,18s,2089.265164,6.53312
2022-09-05T13:31:32Z,18s,2089.265164,6.53312
2022-09-05T13:31:51Z,19s,2119.84805,6.701056
2022-09-05T13:32:10Z,19s,2087.360697,6.602752
2022-09-05T13:32:22Z,12s,2015.050037,6.692864
2022-09-05T13:32:42Z,20s,2063.677261,6.582272
2022-09-05T13:33:02Z,20s,2056.24795,6.569984
2022-09-05T13:33:17Z,15s,2190.931553,6.557696
2022-09-05T13:33:29Z,12s,2050.56212,6.807552
2022-09-05T13:33:40Z,11s,2257.179201,6.586368
2022-09-05T13:33:56Z,16s,2025.490511,6.762496
2022-09-05T13:34:20Z,24s,2089.264301,6.656
2022-09-05T13:34:33Z,13s,2129.34006,6.791168
2022-09-05T13:34:50Z,17s,2052.620801,6.684672
2022-09-05T13:34:50Z,17s,2052.620801,6.684672
2022-09-05T13:35:10Z,20s,2065.396924,6.57408
2022-09-05T13:35:27Z,17s,2145.276071,6.59456
2022-09-05T13:35:42Z,15s,2028.171767,6.590464
2022-09-05T13:35:54Z,12s,2196.628129,6.672384
2022-09-05T13:36:12Z,18s,2058.782733,6.598656
