timestamp,window,cpu (millicores),memory (megabytes)
2022-09-05T13:24:27Z,20s,241.733054,5.394432
2022-09-05T13:24:40Z,13s,525.555647,5.439488
2022-09-05T13:24:59Z,19s,206.601258,5.443584
2022-09-05T13:25:12Z,13s,104.091088,5.44768
2022-09-05T13:25:24Z,12s,274.381466,5.701632
2022-09-05T13:25:38Z,14s,934.410288,5.885952
2022-09-05T13:25:56Z,18s,969.845595,5.931008
2022-09-05T13:26:19Z,23s,976.095384,5.955584
2022-09-05T13:26:31Z,12s,843.998489,5.976064
2022-09-05T13:26:46Z,15s,1007.745135,6.26688
2022-09-05T13:27:01Z,15s,896.763464,5.992448
2022-09-05T13:27:20Z,19s,1020.276731,6.098944
2022-09-05T13:27:33Z,13s,976.500643,6.094848
2022-09-05T13:27:45Z,12s,951.645118,6.242304
