timestamp,window,cpu (millicores),memory (megabytes)
2022-09-05T13:41:23Z,12s,83.435785,5.197824
2022-09-05T13:41:35Z,12s,141.748668,5.20192
2022-09-05T13:42:01Z,26s,476.479753,5.554176
2022-09-05T13:42:11Z,10s,308.775826,5.578752
2022-09-05T13:42:26Z,15s,273.262075,5.586944
2022-09-05T13:42:45Z,19s,625.056519,6.656
2022-09-05T13:42:57Z,12s,643.705531,6.71744
2022-09-05T13:43:13Z,16s,669.725063,6.7584
2022-09-05T13:43:26Z,13s,671.707721,6.877184
2022-09-05T13:43:37Z,11s,641.386412,6.71744
2022-09-05T13:43:49Z,12s,710.444499,6.7584
2022-09-05T13:44:08Z,19s,648.145506,6.909952
2022-09-05T13:44:22Z,14s,647.023704,6.709248
2022-09-05T13:44:42Z,20s,664.879656,6.9632
